variant,soc_enabled,soc_threshold,soc_neighbor_coupling,soc_align_relax,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_topple_steps,soc_topple_events_total,soc_topple_size_mean,soc_branch_ratio
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,27,0.3359375,0.0078125,2.883613904146704,0.547499113112873,198.99999999999983,12.5,585.0,3666.0,6.266666666666667,1.0802650104171054
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,29,0.4375,0.0078125,2.2221143732408923,4.57075537031061,198.99999999999983,27.5,599.0,4222.0,7.048414023372287,1.058609868263176
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,28,0.3515625,0.0,0.3455925429445325,1.0310883440790464,198.99999999999983,12.5,594.0,4938.0,8.313131313131313,1.072756890816492
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,1,0.3359375,0.25,0.3475729234347847,3.2294470547226233,198.99999999999983,7.5,599.0,4617.0,7.707846410684474,1.039551584000961
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,4,0.4375,0.1796875,0.1626416025945294,2.045700991724395,198.99999999999983,7.5,569.0,2465.0,4.3321616871704745,1.0793014399528484
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,3,0.3203125,0.2421875,0.5830218392976838,4.285263898277807,198.99999999999983,32.5,594.0,3487.0,5.87037037037037,1.0583145026231031
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,5,0.4609375,0.125,2.6906379841861017,4.59823564906716,198.99999999999983,7.5,543.0,2856.0,5.259668508287293,1.109303733643054
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,2,0.234375,0.171875,3.0035468048704272,0.7125034081507025,198.99999999999983,17.5,599.0,3640.0,6.076794657762938,1.069404657030075
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,6,0.4296875,0.2265625,0.9523065780480165,0.0009734863637840492,198.99999999999983,17.5,569.0,3629.0,6.377855887521968,1.0631439107815024
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,9,0.421875,0.234375,0.4360041019710847,0.1796914688796966,198.99999999999983,12.5,596.0,3547.0,5.951342281879195,1.0544975615366126
