variant,speed_ratio,seed,safe_frac,soc_branch_ratio,soc_topple_steps,avalanche_count,avalanche_size_mean,avalanche_size_p95,avalanche_duration_mean,activity_beta
soc_low_activity,1.3,8,0.40625,1.10074200913242,293.0,126,3.142857142857143,9.0,2.3253968253968256,1.0235584905835142
soc_low_activity,1.3,9,0.375,1.0938189845474613,303.0,124,3.370967741935484,11.0,2.443548387096774,1.125913800763074
soc_low_activity,1.3,10,0.25,1.1185699588477367,325.0,132,3.265151515151515,13.449999999999989,2.462121212121212,1.0291248185335204
soc_low_activity,1.3,11,0.296875,1.1037037037037036,316.0,122,3.5163934426229506,11.949999999999989,2.5901639344262297,0.9546226666137166
soc_low_activity,1.3,12,0.4296875,1.0708333333333333,321.0,126,3.246031746031746,11.75,2.5476190476190474,1.0974315996423327
soc_low_activity,1.3,13,0.2578125,1.125962596259626,304.0,120,3.4166666666666665,14.149999999999991,2.533333333333333,0.9871074219864001
soc_low_activity,1.3,14,0.4140625,1.0829346092503986,210.0,106,2.452830188679245,8.25,1.9811320754716981,0.8686114198304759
soc_low_activity,1.3,15,0.3046875,1.079734219269103,302.0,137,2.656934306569343,9.199999999999989,2.204379562043796,0.8956228457829548
soc_low_activity,1.3,16,0.3046875,1.1433333333333333,326.0,131,3.49618320610687,13.5,2.4885496183206106,1.0924280051237574
soc_low_activity,1.3,17,0.4453125,1.1060294117647058,341.0,131,3.5572519083969465,13.0,2.6030534351145036,0.9924678532618098
soc_low_activity,1.3,18,0.375,1.115141955835962,318.0,123,3.5121951219512195,13.899999999999991,2.5853658536585367,0.8380953019246409
soc_low_activity,1.3,19,0.375,1.1258389261744965,299.0,115,3.6695652173913045,15.399999999999977,2.6,1.1876830290888511
