variant,speed_ratio,seed,safe_frac,captured_frac,soc_branch_ratio,soc_pred_entropy_var
baseline,1.3,52,0.3984375,0.1484375,0.0,0.0
baseline,1.3,53,0.2734375,0.125,0.0,0.0
baseline,1.3,54,0.28125,0.21875,0.0,0.0
baseline,1.3,55,0.3828125,0.2109375,0.0,0.0
baseline,1.3,57,0.34375,0.2421875,0.0,0.0
baseline,1.3,56,0.3828125,0.171875,0.0,0.0
baseline,1.3,59,0.328125,0.2734375,0.0,0.0
baseline,1.3,58,0.328125,0.21875,0.0,0.0
baseline,1.3,60,0.296875,0.234375,0.0,0.0
baseline,1.3,61,0.28125,0.1640625,0.0,0.0
baseline,1.3,62,0.2421875,0.2578125,0.0,0.0
baseline,1.3,63,0.4140625,0.2265625,0.0,0.0
baseline,1.3,64,0.3046875,0.234375,0.0,0.0
baseline,1.3,65,0.3828125,0.2421875,0.0,0.0
baseline,1.3,67,0.3046875,0.1875,0.0,0.0
baseline,1.3,66,0.3828125,0.1796875,0.0,0.0
baseline,1.3,68,0.3359375,0.1875,0.0,0.0
baseline,1.3,69,0.421875,0.1328125,0.0,0.0
baseline,1.3,70,0.3203125,0.1953125,0.0,0.0
baseline,1.3,71,0.375,0.2578125,0.0,0.0
baseline,1.3,72,0.421875,0.1875,0.0,0.0
baseline,1.3,73,0.328125,0.2578125,0.0,0.0
baseline,1.3,74,0.34375,0.1953125,0.0,0.0
baseline,1.3,75,0.34375,0.2734375,0.0,0.0
baseline,1.3,76,0.2578125,0.1640625,0.0,0.0
baseline,1.3,77,0.421875,0.1484375,0.0,0.0
baseline,1.3,78,0.2421875,0.2265625,0.0,0.0
baseline,1.3,79,0.3359375,0.203125,0.0,0.0
baseline,1.4,0,0.3359375,0.421875,0.0,0.0
baseline,1.4,1,0.3359375,0.453125,0.0,0.0
baseline,1.4,2,0.3515625,0.3984375,0.0,0.0
baseline,1.4,3,0.28125,0.453125,0.0,0.0
baseline,1.4,4,0.3671875,0.3515625,0.0,0.0
baseline,1.4,5,0.34375,0.234375,0.0,0.0
baseline,1.4,6,0.265625,0.3828125,0.0,0.0
baseline,1.4,7,0.265625,0.3828125,0.0,0.0
baseline,1.4,9,0.3828125,0.3984375,0.0,0.0
baseline,1.4,8,0.3125,0.4140625,0.0,0.0
baseline,1.4,10,0.2578125,0.34375,0.0,0.0
baseline,1.4,11,0.3203125,0.265625,0.0,0.0
baseline,1.4,12,0.2890625,0.3828125,0.0,0.0
baseline,1.4,13,0.296875,0.2890625,0.0,0.0
baseline,1.4,14,0.2890625,0.421875,0.0,0.0
baseline,1.4,16,0.3125,0.4140625,0.0,0.0
baseline,1.4,17,0.296875,0.328125,0.0,0.0
baseline,1.4,15,0.3359375,0.390625,0.0,0.0
baseline,1.4,18,0.3046875,0.40625,0.0,0.0
baseline,1.4,19,0.328125,0.375,0.0,0.0
baseline,1.4,20,0.3125,0.3515625,0.0,0.0
baseline,1.4,21,0.3203125,0.203125,0.0,0.0
baseline,1.4,22,0.34375,0.421875,0.0,0.0
baseline,1.4,24,0.3046875,0.4296875,0.0,0.0
baseline,1.4,23,0.2734375,0.375,0.0,0.0
baseline,1.4,25,0.2265625,0.34375,0.0,0.0
baseline,1.4,26,0.2578125,0.3984375,0.0,0.0
baseline,1.4,27,0.2890625,0.265625,0.0,0.0
baseline,1.4,28,0.265625,0.375,0.0,0.0
baseline,1.4,29,0.265625,0.3828125,0.0,0.0
baseline,1.4,30,0.3125,0.3671875,0.0,0.0
baseline,1.4,31,0.25,0.4296875,0.0,0.0
baseline,1.4,33,0.28125,0.4140625,0.0,0.0
baseline,1.4,32,0.40625,0.1953125,0.0,0.0
baseline,1.4,34,0.2890625,0.3515625,0.0,0.0
baseline,1.4,36,0.3359375,0.4140625,0.0,0.0
baseline,1.4,35,0.3046875,0.3125,0.0,0.0
baseline,1.4,37,0.3125,0.421875,0.0,0.0
baseline,1.4,38,0.2890625,0.390625,0.0,0.0
baseline,1.4,39,0.3671875,0.234375,0.0,0.0
baseline,1.4,41,0.3125,0.3046875,0.0,0.0
baseline,1.4,40,0.375,0.28125,0.0,0.0
baseline,1.4,42,0.328125,0.390625,0.0,0.0
baseline,1.4,43,0.25,0.328125,0.0,0.0
baseline,1.4,44,0.203125,0.421875,0.0,0.0
baseline,1.4,45,0.3125,0.390625,0.0,0.0
baseline,1.4,46,0.3125,0.421875,0.0,0.0
baseline,1.4,47,0.2734375,0.4140625,0.0,0.0
baseline,1.4,49,0.2421875,0.4140625,0.0,0.0
baseline,1.4,48,0.3515625,0.3828125,0.0,0.0
baseline,1.4,50,0.234375,0.4453125,0.0,0.0
baseline,1.4,51,0.265625,0.4140625,0.0,0.0
baseline,1.4,52,0.3671875,0.3671875,0.0,0.0
baseline,1.4,53,0.2890625,0.3671875,0.0,0.0
