variant,gain,config,sweep_dir,seed,speed_ratio,w_align,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,70,1.3,0.15,0.390625,2.972885077023599,0.01766894618651487,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,69,1.3,0.15,0.25,1.0469830204862651,4.582525303164259,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,71,1.3,0.15,0.3203125,2.5782758456299137,4.1837957650237065,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,72,1.3,0.15,0.4375,0.46795449809024425,0.0006243116245460098,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,73,1.3,0.15,0.359375,2.565595245841323,0.34417768348060823,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,74,1.3,0.15,0.328125,0.31716438019006976,0.8487088080807033,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,75,1.3,0.15,0.359375,2.077307552343847,1.243535915184737e-05,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,78,1.3,0.15,0.3203125,1.1709617304005364,0.0006174590516217044,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,77,1.3,0.15,0.375,0.36848314457580783,1.6905347873432077,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,76,1.3,0.15,0.28125,2.161355872251767,2.9095515184807055,0.0,0.0
